price,rooms,area,market,building_type,building_material,year_built,heating,kitchen_type,property_condition,form_of_ownership,district_result,distance_from_center,floor_of_flat,balconies,parking,basement_storage_unit,lift,smart home,air conditioning,rooms_to_area_ratio
329000,1,19.1,Secondary,Other/ No data,Brick,2002.136017628205,Own/ local central heating,Kitchenette,5.859567901234568,1.0,Prądnik Czerwony,2.7,1,No_data,Yes,No_data,No_data,No_data,No_data,0.05235602094240837
844700,3,59.0,Primary,Apartment building,No data,2026.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Krowodrza,1.6,2,Yes,Yes,Yes,No_data,No_data,No_data,0.05084745762711865
785396,2,47.89,Primary,Other/ No data,No data,2026.0,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,3,Yes,Yes,No_data,No_data,No_data,No_data,0.04176237210273544
1531828,4,67.78,Secondary,Apartment building,"Mixed construction, other",2024.0,Central city heating,Kitchenette,10.0,4.0,Podgórze,3.6,6,Yes,Yes,No_data,Yes,No_data,No_data,0.05901445854234287
891426,2,51.8,Primary,Apartment building,H-frame,2026.0,Central city heating,Kitchenette,5.0,4.0,Bronowice,5.5,1,Yes,Yes,Yes,Yes,No_data,No_data,0.03861003861003861
1099000,2,56.2,Secondary,Apartment building,"Concrete, reinforced concrete",2008.0,Central city heating,Kitchenette,2.0,4.0,Grzegórzki,1.15,3,No_data,Yes,Yes,No_data,No_data,No_data,0.03558718861209964
434125,2,34.73,Primary,Apartment building,Brick,2025.0,Own/ local central heating,Kitchenette,5.0,4.0,Nowa Huta,12.9,1,Yes,Yes,Yes,No_data,No_data,No_data,0.05758710048949036
814980,2,43.35,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,5,Yes,Yes,Yes,Yes,No_data,No_data,0.0461361014994233
357000,1,23.78,Secondary,Apartment building,Large slab,1970.0,Central city heating,Kitchenette,1.0,2.0,Nowa Huta,12.9,5,No_data,No_data,No_data,Yes,No_data,No_data,0.04205214465937763
599886,1,31.74,Primary,New construction,"Concrete, reinforced concrete",2025.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,1,Yes,Yes,Yes,No_data,No_data,No_data,0.031505986137366104
840275,3,57.95,Primary,Apartment building,No data,2024.0,Central city heating,Kitchenette,5.0,4.0,Podgórze Duchackie,4.0,0,No_data,No_data,Yes,Yes,No_data,No_data,0.05176876617773943
540000,2,39.37,Secondary,Apartment building,"Mixed construction, other",2008.0,Central city heating,Kitchenette,9.0,4.0,Nowa Huta,12.9,0,Yes,No_data,Yes,No_data,No_data,No_data,0.05080010160020321
845000,3,60.6,Secondary,Apartment building,Brick,2019.0,Central city heating,Kitchenette,9.0,3.7804203539823007,Bieżanów-Prokocim,7.5,2,Yes,No_data,Yes,No_data,No_data,Yes,0.0495049504950495
